x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
0.502861857,0.560819447,-0.642074823,0.999971867,0.513311982,0.514201999,-0.590722382,0.999948025,0.523385644,0.514891744,-0.590608954,0.999943495,0.533436894,0.515996933,-0.590509117,0.99991858,0.474880368,0.513782024,-0.644665539,0.999969006,0.456131071,0.514297426,-0.644635558,0.999976397,0.435046196,0.51565063,-0.644874692,0.999972939,0.526361108,0.542252779,-0.308311462,0.999936342,0.389782608,0.541095614,-0.550242126,0.999990582,0.51418376,0.6207394,-0.534634352,0.999950886,0.471937954,0.618366063,-0.604174733,0.99998796,0.503241241,0.796724856,-0.008688265,0.997605562,0.284997761,0.792059362,-0.592639685,0.99969399,0.497413337,1.108687878,0.330045372,0.020714516,0.089255542,1.019585609,-0.717805028,0.76557672,0.524815738,1.293023586,0.451557398,0.025898961,0.13673389,1.389996767,-0.851721883,0.215551555,0.549087346,1.360448003,0.471962065,0.047700185,0.126153171,1.483152747,-0.916892827,0.21702075,0.548877835,1.359506845,0.412362278,0.065121658,0.174874425,1.478735805,-0.942819774,0.272960156,0.531816304,1.339195132,0.420160115,0.061956611,0.177755237,1.4450351,-0.869397461,0.285347372,0.458391577,1.419560194,0.142907858,0.004170405,0.272550523,1.450580597,-0.14014034,0.004156794,0.481402487,1.902632236,0.226581171,0.003033758,0.31701833,1.961232305,-0.098406523,0.004779138,0.475291431,2.368681908,0.603756309,0.00044602,0.295924246,2.418889046,0.130481273,0.000407468,0.454315245,2.44775629,0.61572063,0.000313826,0.2511096,2.502995968,0.13706857,0.000524508,0.544017971,2.511301279,0.317219526,0.003653714,0.417204082,2.541644573,-0.285200953,0.001595805
0.500247657,0.560709059,-0.658273101,0.999973953,0.510507286,0.514207125,-0.606333137,0.999951541,0.520127416,0.514891922,-0.606096089,0.999947309,0.529463291,0.515996993,-0.605914235,0.999924004,0.471578687,0.51405704,-0.656384706,0.999971211,0.453310192,0.514919162,-0.656156421,0.999978065,0.432990551,0.516530931,-0.656325817,0.999974787,0.522905648,0.542242885,-0.313929826,0.999940455,0.388240844,0.541722238,-0.548029065,0.999991179,0.511967421,0.619907141,-0.548116088,0.999953985,0.468653858,0.618012965,-0.612550557,0.999988675,0.50826931,0.799361825,-0.004146678,0.997751772,0.279631168,0.790900409,-0.590599656,0.999712884,0.533826113,1.092831731,0.466216326,0.025998285,0.088840283,1.019702196,-0.724399149,0.762187481,0.660554051,1.234615922,0.662405372,0.047889266,0.129941612,1.402693272,-0.902253747,0.240442991,0.719645381,1.270883083,0.70029974,0.079406455,0.113476969,1.495931268,-0.973019123,0.245607361,0.727641702,1.280897498,0.629233479,0.102367535,0.162843585,1.495524526,-1.02053225,0.302018225,0.694325745,1.274959922,0.627881765,0.098324977,0.16939044,1.462820053,-0.930031776,0.314576358,0.458636194,1.422461629,0.144905567,0.004211746,0.266956508,1.449747801,-0.142185882,0.004112522,0.465637743,1.912468195,0.330829084,0.002794526,0.284456015,1.969784498,-0.024733348,0.004435521,0.455943048,2.372851849,0.81798923,0.000413699,0.263310999,2.419899702,0.329700112,0.000373194,0.438123405,2.45351696,0.839855492,0.000289989,0.222174078,2.503050327,0.351042271,0.000479802,0.520946622,2.511364222,0.520175159,0.003428906,0.385579199,2.54338932,-0.099669635,0.001478447
0.525020719,0.56023705,-0.593502343,0.999975145,0.517824769,0.514202237,-0.544650435,0.999953151,0.52308768,0.514834106,-0.544350326,0.999949872,0.529682517,0.515737951,-0.544135153,0.999927938,0.496251971,0.514228106,-0.624826431,0.999971986,0.482823074,0.515243173,-0.624497294,0.999978542,0.467166722,0.517053962,-0.624729216,0.999974728,0.505741954,0.540283501,-0.303831756,0.999944031,0.405813605,0.541737497,-0.644114971,0.99999094,0.524231017,0.617940068,-0.50545454,0.99995631,0.498165697,0.617397964,-0.605423212,0.999989033,0.511018395,0.804803967,-0.063634336,0.997952223,0.258880019,0.79453969,-0.67594707,0.999723494,0.563848615,1.096061349,0.432144225,0.054575626,0.082432345,1.031162381,-0.772845507,0.754295349,0.702831686,1.23508954,0.561580539,0.086055845,0.108133517,1.407538533,-0.900150895,0.252426326,0.766451478,1.265459657,0.541712046,0.116000503,0.090449549,1.500876904,-0.965731025,0.263780683,0.762589574,1.271169305,0.446298361,0.142528772,0.130716488,1.503654599,-1.027697682,0.318402529,0.73187077,1.268233776,0.498598337,0.139298469,0.139326513,1.470361471,-0.933580101,0.330055356,0.464871228,1.42754972,0.141289905,0.004328983,0.264942706,1.449777722,-0.138304576,0.003986862,0.466908872,1.916981578,0.338782012,0.002549666,0.28021729,1.969765067,0.043418981,0.004108283,0.457397878,2.374405146,0.919947624,0.00037742,0.264387876,2.414096355,0.497979701,0.000342002,0.442664921,2.454596996,0.950700879,0.000263409,0.225612372,2.495641947,0.525753796,0.000438065,0.522366703,2.503578186,0.608578324,0.00329322,0.377838403,2.518961906,0.065485232,0.001384219
0.548726439,0.5597139,-0.505552948,0.999975145,0.53604573,0.514331758,-0.455777884,0.999953151,0.536418676,0.514903843,-0.455643564,0.999950886,0.537536502,0.515751421,-0.455478489,0.999929667,0.523672283,0.514404774,-0.550434172,0.999971926,0.513469219,0.515320837,-0.550260007,0.999978364,0.501441658,0.517055035,-0.550551474,0.999973893,0.505987525,0.539744139,-0.23741588,0.999946594,0.433406681,0.538783789,-0.640150547,0.999990642,0.539843738,0.615612447,-0.42359677,0.99995774,0.522022963,0.615775943,-0.546257615,0.999989152,0.511453331,0.814603209,-0.050854959,0.998119414,0.257578701,0.792229295,-0.692777276,0.999727905,0.590433657,1.106619954,0.373012841,0.075368412,0.076565742,1.030744076,-0.791909575,0.737925828,0.722443759,1.237235427,0.37753436,0.116125919,0.045335121,1.407199502,-0.944413006,0.25963828,0.781253219,1.263934731,0.364527822,0.146382615,0.018740978,1.497998834,-1.016008258,0.280977339,0.771650791,1.255527377,0.273774683,0.176940143,0.058254432,1.503029704,-1.089600325,0.336945236,0.744962931,1.255083561,0.32186681,0.173778996,0.070475325,1.468735456,-0.984057546,0.346008271,0.464793384,1.428928494,0.137637436,0.004351721,0.260061473,1.448539019,-0.134567067,0.003811659,0.464847803,1.923676133,0.324841052,0.002376008,0.270416111,1.969596982,0.026998606,0.003882248,0.457805246,2.379537344,0.878729224,0.000344362,0.256276906,2.412529707,0.450377226,0.000314178,0.442239344,2.459960938,0.90854758,0.000239594,0.221551493,2.494138956,0.474591553,0.000406287,0.524402738,2.50285244,0.565474987,0.003148207,0.371038228,2.511970758,-0.00044785,0.001303484
0.558485389,0.560642481,-0.523884058,0.999976218,0.544985235,0.516378641,-0.472611815,0.999954343,0.543893099,0.516698718,-0.472390413,0.999952912,0.542734325,0.517270863,-0.47217378,0.99993211,0.534626544,0.516472042,-0.567320585,0.99997282,0.525037527,0.517081439,-0.567080617,0.999979019,0.513934314,0.518467307,-0.567344844,0.999973953,0.506011963,0.539816856,-0.245659262,0.999949753,0.444119513,0.538247526,-0.679181516,0.999990702,0.547369599,0.615565956,-0.437978655,0.999958813,0.532166362,0.615758955,-0.558412611,0.999989331,0.512019753,0.818482399,-0.048049737,0.998276293,0.256150723,0.790114999,-0.740777194,0.999731243,0.603874981,1.083245873,0.403425753,0.110479556,0.07515616,1.029641509,-0.856051564,0.727558911,0.741314232,1.077739954,0.500210226,0.180545524,0.030033464,1.406729102,-1.006285548,0.277977079,0.799368143,1.070589304,0.502901554,0.206664398,0.004188803,1.495597243,-1.076649308,0.310809851,0.789064884,1.015660167,0.401928604,0.237709582,0.044857819,1.501718879,-1.158678055,0.367160261,0.771396458,1.02314508,0.441598654,0.235512033,0.056742042,1.467571616,-1.049505472,0.375350267,0.464161813,1.429362178,0.135504276,0.00439446,0.256170452,1.444993615,-0.132318348,0.003649306,0.46497637,1.924119473,0.346631706,0.002192916,0.26907891,1.966691375,0.034974299,0.003637236,0.45839113,2.380190372,0.931870162,0.000312457,0.259041637,2.410019875,0.484142631,0.000287277,0.44237113,2.459701538,0.966537297,0.000217902,0.224012703,2.489968061,0.51092732,0.000377804,0.527531207,2.500403881,0.631384254,0.003051838,0.372377366,2.50513196,0.036979198,0.001218392
0.56278491,0.563149691,-0.512690663,0.999975741,0.549170375,0.519108951,-0.461907327,0.999952853,0.54742074,0.519002318,-0.461688191,0.999952495,0.545206606,0.519143045,-0.461519331,0.999931335,0.539937854,0.519621372,-0.56344831,0.999972224,0.5309726,0.519854128,-0.563212574,0.999978423,0.520649791,0.520759642,-0.563491642,0.999972224,0.505352914,0.54006505,-0.239735126,0.999951184,0.453183472,0.538333535,-0.693762422,0.999990165,0.550490499,0.616030395,-0.428744882,0.999958992,0.536802649,0.616611481,-0.558667004,0.999989152,0.511702418,0.823646903,-0.044422105,0.9984079,0.255597532,0.789008319,-0.774430573,0.999732375,0.599898994,1.093362093,0.39146477,0.133802176,0.072699182,1.026940823,-0.90391922,0.716185629,0.728612065,1.091759086,0.449445665,0.214077279,-0.006287863,1.389135122,-1.069296479,0.294851243,0.787994087,1.154257417,0.451052606,0.239651918,-0.039755944,1.468715668,-1.147796869,0.3386859,0.773306549,1.13175118,0.355028659,0.27393657,-0.000157135,1.480895758,-1.2268641,0.396561623,0.749236465,1.112315655,0.390856683,0.2729716,0.014548887,1.454168916,-1.112457275,0.402854413,0.458091021,1.430770755,0.135645121,0.004271506,0.252029717,1.443881512,-0.132482454,0.003421535,0.457019508,1.927584291,0.336442709,0.002025515,0.261526167,1.964533329,0.015140191,0.003377028,0.44847098,2.383646488,0.890301049,0.000283799,0.247489601,2.409601688,0.431226432,0.000262272,0.430397332,2.462978363,0.921230197,0.000198074,0.211410001,2.489940882,0.454147518,0.000350318,0.523113549,2.499709368,0.57961005,0.002898161,0.364609241,2.503345251,-0.029390329,0.001133542
0.566087842,0.564999998,-0.482709825,0.999974608,0.551578164,0.520998597,-0.433288634,0.999952734,0.549657822,0.520760536,-0.433062017,0.999952316,0.547091603,0.520788431,-0.433033466,0.999932528,0.542535663,0.521715283,-0.532635331,0.999971867,0.533950686,0.521720767,-0.532425165,0.999977469,0.524005771,0.52220732,-0.532710016,0.999971092,0.504904747,0.540998995,-0.210074306,0.999952614,0.459523916,0.538349271,-0.664213479,0.999989331,0.552535713,0.616487145,-0.398623198,0.999959648,0.539690137,0.617202044,-0.52782166,0.999989033,0.510657251,0.83181566,-0.03980558,0.998511076,0.255142748,0.787096798,-0.728964269,0.999728322,0.5937078,1.120877743,0.307010949,0.145295769,0.072178766,1.026402354,-0.86477387,0.703992605,0.709385514,1.23025322,0.285571158,0.220857278,-0.013081516,1.374267459,-1.010819674,0.304482877,0.764680445,1.268384814,0.274384499,0.247458726,-0.052897524,1.450425029,-1.080924511,0.357567102,0.749178171,1.25798142,0.186724335,0.285128146,-0.011987463,1.465719223,-1.141985297,0.416956604,0.724495769,1.253321886,0.232550532,0.283662766,0.005067083,1.442708254,-1.042786956,0.419533432,0.453538239,1.432193518,0.13329418,0.004041732,0.248862952,1.441335797,-0.129953623,0.003178636,0.452360541,1.930676579,0.308200806,0.001862605,0.261048734,1.959366679,0.007439259,0.003133505,0.442317396,2.387753487,0.869962096,0.000257788,0.242904142,2.408292055,0.394134104,0.000239254,0.423318088,2.466883183,0.907434762,0.000179975,0.205835178,2.489292145,0.415196478,0.000321979,0.514076293,2.500099897,0.534657717,0.002702186,0.355256021,2.502357006,-0.051156282,0.001046049
0.5660519,0.566533685,-0.464752048,0.999974251,0.552786052,0.522966683,-0.416761935,0.999952197,0.55109489,0.522645295,-0.416560262,0.999952435,0.548600316,0.522573829,-0.416473866,0.999933064,0.542924941,0.5236215,-0.514816761,0.999971628,0.533887923,0.523403049,-0.514603138,0.999977231,0.523442328,0.523576379,-0.514899015,0.999970376,0.50485611,0.5419029,-0.205427974,0.999954045,0.460044473,0.538362205,-0.651975513,0.999989092,0.553009212,0.616930902,-0.384905785,0.999960303,0.539393604,0.617599607,-0.512288988,0.999989033,0.510620177,0.833347857,-0.029929141,0.998612165,0.255311817,0.785371184,-0.72117883,0.999731779,0.601517081,1.122875214,0.32922563,0.156130925,0.071033224,1.026380897,-0.8429721,0.689301789,0.723295748,1.249535799,0.350099057,0.231280297,0.00367652,1.377464652,-0.988198638,0.307228357,0.778756917,1.281270385,0.350850761,0.2602835,-0.02972791,1.453678966,-1.057809114,0.36837092,0.764036715,1.271044374,0.276372433,0.301643968,0.012961606,1.473897696,-1.123326421,0.429121196,0.738664746,1.269841909,0.307326347,0.299951822,0.027689859,1.450148225,-1.02315414,0.429414451,0.452884048,1.433306098,0.133371681,0.003924125,0.248949245,1.441379428,-0.130007461,0.003001353,0.451347351,1.932872057,0.292257786,0.00174222,0.260313421,1.96051228,-0.004678687,0.002985762,0.44113341,2.388460398,0.864844024,0.000236284,0.240487069,2.408008575,0.374300838,0.00022128,0.422850847,2.467495918,0.890820384,0.000164861,0.205331609,2.489167213,0.39393878,0.000302258,0.51239115,2.500238657,0.533012509,0.002608818,0.352457166,2.501632214,-0.053785861,0.000987007
0.565718293,0.566926777,-0.457999557,0.99997443,0.552813888,0.523638606,-0.411626816,0.999952555,0.551414013,0.523303092,-0.411388695,0.999953628,0.54918021,0.523209751,-0.411282778,0.999934852,0.542471945,0.524275601,-0.505376041,0.999971628,0.533288896,0.523992062,-0.50509429,0.999977171,0.522778153,0.524074376,-0.505322099,0.99996978,0.504728675,0.542299986,-0.205789834,0.999955773,0.459744632,0.538294911,-0.649610817,0.999988854,0.55339992,0.61699456,-0.380232692,0.999961436,0.539484441,0.617642283,-0.50207001,0.999989152,0.510573924,0.832358897,-0.029682035,0.998724937,0.254591852,0.78538698,-0.718275189,0.999741971,0.593828619,1.126714945,0.314729869,0.167251423,0.072056413,1.028475404,-0.804261863,0.675630152,0.71323216,1.25715518,0.307268083,0.239878744,0.019533392,1.377858281,-0.937448621,0.302693367,0.768823028,1.287064075,0.291943759,0.26985085,-0.009030331,1.457631707,-1.008118033,0.369169176,0.757106721,1.277824879,0.206153005,0.313950956,0.032425396,1.475679517,-1.074649453,0.429566473,0.731155992,1.276347756,0.255740702,0.311991751,0.04675135,1.450410604,-0.973078072,0.427966535,0.452742398,1.433237433,0.133397698,0.003941275,0.248732954,1.441003799,-0.130020469,0.00289859,0.445935816,1.932181597,0.289937615,0.00163722,0.254630595,1.96030736,-0.007142345,0.002907685,0.434247315,2.387537718,0.832722008,0.000218015,0.230051428,2.401917934,0.375082642,0.000205952,0.416991621,2.466572523,0.857961178,0.000151503,0.197908908,2.481979609,0.394257456,0.000283346,0.500812411,2.497892618,0.517121553,0.002550908,0.336538285,2.497366905,-0.070400625,0.000937519
0.56552279,0.567553222,-0.4476358,0.999974072,0.552849531,0.524269521,-0.402179152,0.999952614,0.551577508,0.52390337,-0.401928812,0.999954462,0.549494267,0.523774743,-0.401856244,0.999936223,0.542362273,0.524849653,-0.491455168,0.999971151,0.533202767,0.524494469,-0.491161674,0.999976635,0.522799075,0.524486661,-0.491362333,0.999968588,0.504587531,0.54266876,-0.198938817,0.999957025,0.459715307,0.538240492,-0.614603937,0.999988377,0.553493738,0.61726594,-0.371102571,0.999962151,0.539525807,0.617818415,-0.486841589,0.999989152,0.510745883,0.831600904,-0.030398279,0.998823643,0.25434202,0.785406232,-0.6620996,0.999748945,0.589890361,1.131334066,0.251391411,0.174314454,0.072820447,1.029076695,-0.730077744,0.661282837,0.703833342,1.277724743,0.195908785,0.236875415,0.022506032,1.376870751,-0.855569839,0.294721603,0.757145643,1.313059092,0.169576928,0.267217368,-0.008157399,1.459383249,-0.919576168,0.364253432,0.746277928,1.307913542,0.086784497,0.313194662,0.037941083,1.473857045,-0.981542885,0.424046606,0.721096754,1.303050399,0.144380108,0.310713261,0.050120868,1.446601987,-0.88925916,0.420469344,0.452774227,1.433067083,0.130537167,0.003887607,0.249082476,1.439020038,-0.127097458,0.002782275,0.444079012,1.931702018,0.248658419,0.001556462,0.254418731,1.957335949,-0.015334154,0.002907909,0.43386668,2.385073185,0.752050638,0.000203965,0.230117798,2.3905828,0.348848492,0.000194228,0.417206138,2.464190483,0.774685562,0.000140356,0.199596614,2.469569921,0.364327908,0.000266026,0.496757329,2.494609118,0.431121439,0.00253926,0.331143737,2.487075806,-0.102111302,0.000899703
