x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x23,x24
0.510848105,0.538799047,0.556344271,0.5731318,0.463666916,0.445807368,0.430603623,0.603595495,0.407653123,0.550748229,0.480424434,0.341013074,0.602424145
0.510828495,0.539296567,0.556925356,0.573756516,0.465914428,0.44780162,0.432727367,0.604306281,0.409431547,0.550943792,0.480475515,0.337613642,0.603313982
0.510666072,0.539290905,0.556905568,0.57370019,0.467853576,0.44952786,0.434126109,0.604298174,0.410990238,0.550919414,0.479446381,0.339270383,0.604170322
0.510511339,0.539122999,0.556754053,0.573499203,0.469166011,0.450824708,0.435196996,0.604292691,0.411986828,0.551272929,0.479293257,0.341147393,0.609416604
0.510122418,0.539008319,0.556609035,0.573243141,0.469106495,0.450801641,0.435110956,0.604000807,0.411625892,0.551588953,0.477790475,0.340936154,0.610500276
0.506395817,0.537103474,0.554557562,0.570020974,0.466923147,0.448444813,0.432379156,0.601946056,0.409851074,0.549924314,0.472431451,0.337367743,0.611435354
0.503235281,0.534060121,0.551639855,0.56662482,0.465317428,0.446924657,0.430444539,0.597397804,0.405063331,0.547251701,0.469136506,0.334644765,0.609685838
0.497502357,0.530964136,0.54890734,0.564065874,0.462493628,0.443844289,0.427008241,0.595420122,0.401107669,0.542085052,0.464161307,0.333104819,0.603279293
0.495358825,0.529750526,0.547581971,0.562999308,0.461270064,0.442504525,0.425488114,0.593776882,0.398408026,0.53892374,0.461933315,0.326186061,0.597162604
0.49509868,0.529805243,0.547515392,0.563141525,0.460678965,0.441290736,0.423906237,0.593434095,0.395965189,0.538499355,0.461063832,0.326916903,0.596019328
0.498252481,0.532330453,0.549784601,0.566024125,0.465645611,0.445850968,0.429594725,0.595706403,0.40017274,0.538718939,0.463749141,0.341153502,0.596555293
0.510774374,0.54190594,0.560574472,0.578332365,0.478922337,0.457193196,0.441064835,0.607631207,0.417362899,0.546144247,0.471550733,0.370689869,0.603521943
0.532539546,0.560264289,0.578664064,0.595226705,0.501188159,0.47736457,0.456791371,0.616660058,0.429253668,0.570820868,0.497760326,0.409005046,0.611379802
0.540221632,0.566013873,0.585311711,0.60211885,0.505430758,0.481124312,0.459985703,0.621756077,0.429389268,0.583991051,0.504527509,0.423592567,0.617139995
0.544949651,0.569634199,0.588703215,0.605390251,0.507664263,0.482877553,0.462153554,0.625776708,0.433945745,0.591930807,0.511274278,0.420225114,0.628233194
0.556436181,0.579747617,0.59850508,0.614576876,0.517851412,0.491744906,0.468942344,0.633374691,0.437362283,0.60305357,0.520664394,0.427780628,0.633810341
0.560855329,0.587759733,0.606810391,0.622846484,0.524197042,0.49805215,0.474479198,0.643306971,0.440703481,0.605870306,0.524282455,0.434970409,0.636084497
