y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y23,y24
0.477077335,0.447599232,0.446547896,0.445531666,0.449817657,0.451001346,0.45225668,0.452284157,0.464465231,0.495933861,0.501359761,0.531118453,0.885283172,0.708007693
0.474697292,0.44655624,0.445295393,0.444397867,0.450304091,0.452165127,0.453940779,0.452490747,0.466420084,0.494636536,0.500444353,0.535586715,0.885659218,0.711182714
0.474900544,0.448770463,0.44752574,0.446594417,0.453208864,0.455208242,0.457267374,0.456890285,0.471928537,0.495152563,0.50204742,0.54506427,0.891165376,0.7212376
0.476937443,0.452102035,0.450803906,0.449921697,0.457625538,0.460032761,0.462638438,0.461477935,0.478324831,0.4973194,0.50539887,0.553396165,0.898423672,0.732263863
0.481119007,0.457207501,0.455829531,0.454936892,0.463611543,0.466025442,0.468598187,0.466344595,0.483886302,0.500353754,0.510394335,0.558715165,0.905335128,0.738479733
0.48449865,0.460884869,0.459602207,0.458845288,0.46704945,0.469272077,0.471694708,0.469943047,0.486580312,0.503166914,0.51346302,0.559765458,0.909866214,0.738556325
0.484546602,0.460645139,0.459393591,0.4586429,0.466202259,0.468195498,0.470363557,0.469620526,0.485358089,0.503619134,0.512717843,0.55852133,0.907240391,0.735630035
0.484189838,0.460016102,0.458806992,0.457961142,0.465025336,0.466992795,0.469146967,0.468322933,0.483902931,0.50326252,0.512282073,0.556482196,0.906100273,0.733737648
0.484039724,0.459634364,0.458567709,0.457891941,0.464828402,0.46669063,0.468697846,0.467511326,0.48343578,0.503040552,0.511667311,0.555329919,0.904651463,0.732687354
0.483340025,0.459304154,0.457985163,0.4571971,0.463814676,0.465410233,0.467388242,0.467550933,0.483107865,0.502852559,0.510691643,0.554390013,0.904238105,0.734109759
0.483187109,0.458846658,0.457489192,0.456763089,0.463419259,0.464933246,0.466767371,0.467801273,0.482523769,0.502866089,0.509839892,0.55522573,0.911666214,0.736420274
0.483024687,0.458510011,0.457335532,0.456764638,0.463354051,0.464704752,0.466415554,0.468035996,0.482149065,0.503085732,0.509540975,0.556140304,0.914099991,0.739711881
0.474358171,0.448274136,0.446623176,0.445815653,0.454819351,0.457388967,0.460070789,0.458490133,0.476614535,0.497081697,0.503371358,0.554089665,0.90469408,0.738955319
0.450034618,0.423245519,0.422170937,0.421504021,0.428018808,0.430311769,0.432655573,0.433326066,0.446900845,0.47431007,0.479403347,0.528271794,0.88113898,0.709961832
0.428021431,0.399428308,0.39782533,0.396658063,0.40484938,0.407328278,0.409838617,0.4073686,0.424166918,0.450762689,0.456138194,0.504952013,0.858907044,0.693581998
0.412544399,0.383008659,0.381295651,0.380029023,0.388537705,0.391085178,0.394037992,0.39053899,0.410113037,0.434585869,0.441454172,0.488837302,0.849446595,0.681176901
0.393676162,0.366160512,0.365170419,0.364576757,0.370137632,0.372565687,0.375922292,0.379140109,0.395035595,0.418295771,0.423492968,0.478609413,0.839850128,0.669485569
0.385874271,0.35936588,0.358023524,0.357271373,0.364767373,0.367812812,0.371712148,0.371062696,0.390177071,0.410829365,0.417978585,0.474925667,0.829679191,0.665054619
0.384131759,0.359957159,0.358715832,0.358323753,0.36429435,0.366208375,0.36891669,0.370153219,0.385301769,0.409541219,0.41526264,0.471899927,0.82416755,0.663792551
0.383210123,0.358622193,0.357248515,0.356867135,0.363797128,0.366134107,0.36884284,0.368341982,0.385029256,0.408406734,0.414098322,0.469389021,0.819703758,0.658206761
0.386778086,0.360788405,0.359529942,0.35920468,0.365127683,0.367149711,0.369745553,0.371083498,0.384764045,0.412192583,0.41570887,0.468735844,0.818903744,0.656527758
0.38916117,0.362518966,0.361328065,0.360857487,0.365965009,0.367752671,0.369933426,0.373153627,0.384084046,0.414332241,0.416483492,0.466102421,0.818856418,0.653290331
0.391103268,0.364118218,0.363038182,0.362566769,0.366096765,0.366923749,0.368312687,0.373856604,0.38279888,0.41544956,0.416144669,0.46453318,0.816727161,0.651702344
0.394052476,0.367304862,0.366219431,0.365632147,0.369365364,0.370101511,0.371362418,0.375131756,0.386602789,0.416026175,0.417852938,0.46287173,0.813859761,0.650066972
0.396140873,0.369455248,0.368354857,0.367669523,0.37156564,0.372439116,0.37381959,0.375955045,0.38852933,0.418016374,0.42058152,0.464639187,0.81762743,0.651584744
0.408266723,0.380914837,0.378691524,0.376491129,0.383951902,0.384625971,0.385768801,0.377054304,0.394613594,0.427039474,0.433060884,0.467298657,0.812101007,0.653870106
0.421806425,0.393669724,0.390319496,0.386922657,0.398925096,0.399882555,0.400872469,0.382665217,0.405242383,0.439287126,0.446829855,0.469064623,0.812223256,0.654995799
0.427594095,0.396493137,0.392042547,0.387631536,0.405339479,0.407516658,0.40909481,0.383024633,0.413025945,0.445215464,0.454802811,0.46986419,0.812987983,0.656749785
0.433041245,0.396430552,0.390990615,0.386670619,0.411398977,0.414427578,0.416123062,0.383420318,0.419590801,0.44882527,0.459997267,0.472212315,0.814768016,0.656994343
0.447780669,0.413039595,0.408546984,0.404278815,0.423284709,0.425193697,0.426374108,0.394440979,0.429521024,0.464172363,0.471255779,0.472647369,0.815317035,0.657957733
0.448245823,0.41335398,0.409021795,0.404826403,0.422916472,0.424540997,0.425744861,0.396279693,0.429445028,0.465162337,0.471845478,0.47309652,0.81580323,0.658255517
0.449418306,0.415409982,0.411089033,0.40717569,0.424087048,0.425325722,0.426368862,0.399017215,0.429944605,0.465499967,0.472067833,0.47325629,0.814347744,0.658536494
0.449850798,0.415671885,0.411347061,0.407437503,0.424511999,0.425801277,0.426858127,0.399224341,0.431002229,0.466100067,0.472806275,0.473331988,0.815347672,0.658824861
0.447395146,0.41292882,0.408434212,0.404753536,0.422169596,0.423416048,0.424607992,0.398804605,0.429345846,0.463353544,0.470636368,0.473530948,0.815617442,0.658596992
0.44807905,0.41309604,0.407729089,0.403331757,0.42348057,0.424837172,0.425841272,0.398563951,0.429290384,0.463902771,0.471409023,0.473445415,0.815812409,0.657592177
0.45150286,0.415942997,0.407341331,0.402382761,0.426116407,0.427086532,0.427780062,0.398069173,0.430654913,0.464723676,0.474276483,0.473554671,0.816328347,0.656690717
0.460693449,0.426476419,0.419169366,0.413736045,0.435088336,0.434898317,0.434358895,0.408423424,0.436803013,0.473001331,0.483530909,0.477264971,0.816735089,0.658353209
0.468269765,0.432458341,0.425843477,0.421682298,0.442362785,0.442310512,0.441681921,0.418664783,0.444242954,0.480634987,0.492088079,0.485521793,0.818400204,0.660710931
0.479160011,0.443881929,0.437256157,0.431998074,0.454782665,0.453710467,0.452082783,0.428067744,0.451113701,0.489650011,0.501034617,0.493439287,0.823943019,0.662355244
0.481324136,0.446546882,0.441059679,0.43669191,0.456382513,0.4560543,0.455295563,0.433021307,0.454420239,0.492854536,0.503449798,0.499262393,0.825941443,0.664305151
